Date,Price
Jun 02 2017,1260.05
Jun 01 2017,1264.56
May 31 2017,1268.58
May 30 2017,1262.10
May 29 2017,1266.69
May 28 2017,1268.22
May 26 2017,1268.10
May 25 2017,1256.40
May 24 2017,1253.10
May 23 2017,1255.50
May 22 2017,1261.40
May 19 2017,1253.60
May 18 2017,1252.80
May 17 2017,1258.70
May 16 2017,1236.40
May 15 2017,1230.00
May 12 2017,1227.70
May 11 2017,1224.20
May 10 2017,1218.90
May 09 2017,1216.10
May 08 2017,1227.10
May 05 2017,1226.90
May 04 2017,1228.60
May 03 2017,1248.50
May 02 2017,1257.00
