Date,Price
Jun 02 2017,17.187
Jun 01 2017,17.225
May 31 2017,17.349
May 30 2017,17.427
May 29 2017,17.392
May 28 2017,17.390
May 26 2017,17.323
May 25 2017,17.193
May 24 2017,17.117
May 23 2017,17.139
May 22 2017,17.191
May 21 2017,16.990
May 19 2017,16.796
May 18 2017,16.670
May 17 2017,16.906
May 16 2017,16.747
May 15 2017,16.603
May 14 2017,16.471
May 12 2017,16.402
May 11 2017,16.265
May 10 2017,16.207
May 09 2017,16.067
May 08 2017,16.258
May 07 2017,16.490
May 05 2017,16.274
May 04 2017,16.303
May 03 2017,16.546
May 02 2017,16.831
